# Misure di spread del broker FTMO, unite dal server Piootoo. Ogni simbolo porta la finestra in cui
# e' stato misurato (firstTickUtc/lastTickUtc): i simboli non si confrontano fra loro su periodi diversi.
# Il backtest legge solo il file spread-by-symbol piu' recente: le misure non rifatte restano qui, gli originali in storico/.
# Piootoo Spread Dump v2.0.1 — broker FTMOPLATFORM (conto 17188650), finestra UTC 2026-08-01 -> 2026-09-01
# spread = ask - bid. Le colonne *Ticks sono la stessa misura in tick di strumento (spread / tickSize).
# 2026-09-24 07:34Z: @AP dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:35Z: @BP dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:36Z: @BRN dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:42Z: @BTC dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:42Z: @C dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:42Z: @CC dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:43Z: @CL dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:43Z: @CT dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
broker,symbol,brokerSymbol,ticks,firstTickUtc,lastTickUtc,tickSize,pipSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks,truncated,note
FTMOPLATFORM,@ES,US500.cash,1400729,2026-08-02T22:05:00Z,2026-09-01T23:59:59Z,0.01,1,0.60,0.60,0.60,0.60,0.63,1.84,60,60,60.06,60,63,184,0,false,
FTMOPLATFORM,@FDAX,GER40.cash,1400716,2026-08-02T22:05:15Z,2026-09-01T23:59:50Z,0.01,1,1.13,1.23,1.58,3.13,3.79,12.35,113,123,158.26,313,379,1235,0,false,
FTMOPLATFORM,@GC,XAUUSD,5674066,2026-08-02T22:05:00Z,2026-09-01T23:59:59Z,0.01,1,0.33,0.45,0.45,0.50,0.53,5.78,33,45,44.70,50,53,578,0,false,
FTMOPLATFORM,@HK,HK50.cash,1589464,2026-08-03T01:20:00Z,2026-09-01T18:59:44Z,0.01,1,6.00,6.00,6.61,8.24,9.84,24.94,600,600,661.45,824,984,2494,0,false,
FTMOPLATFORM,@HO,HEATOIL.c,923474,2026-08-02T22:05:00Z,2026-09-01T23:59:51Z,0.001,1,0.033,0.034,0.034,0.035,0.035,0.066,33,34,33.80,35,35,66,0,false,
FTMOPLATFORM,@KC,COFFEE.c,268180,2026-08-03T08:20:00Z,2026-09-01T17:29:44Z,0.01,1,0.31,0.31,0.32,0.34,0.34,0.76,31,31,32.21,34,34,76,0,false,
FTMOPLATFORM,@NG,NATGAS.cash,154215,2026-08-02T22:05:00Z,2026-09-01T23:59:13Z,0.001,1,0.057,0.060,0.060,0.061,0.062,0.109,57,60,59.72,61,62,109,0,false,
FTMOPLATFORM,@NQ,US100.cash,8389412,2026-08-02T22:05:00Z,2026-09-01T23:59:59Z,0.01,1,1.45,1.45,1.61,1.95,2.13,8.89,145,145,161.20,195,213,889,0,false,
FTMOPLATFORM,@PL,XPTUSD,3686075,2026-08-02T22:05:00Z,2026-09-01T23:59:59Z,0.01,1,0.59,7.01,6.82,8.86,9.73,42.44,59,701,681.96,886,973,4244,0,false,
FTMOPLATFORM,@SB,SUGAR.c,67889,2026-08-03T07:35:00Z,2026-09-01T16:59:26Z,0.01,1,0.11,0.14,0.14,0.15,0.15,0.25,11,14,13.78,15,15,25,0,false,
FTMOPLATFORM,@YM,US30.cash,2418835,2026-08-02T22:05:00Z,2026-09-01T23:59:50Z,0.01,1,2.10,2.10,2.17,2.38,2.63,18.08,210,210,216.65,238,263,1808,0,false,
FTMO,@AP,AUS200.cash,351347,2026-08-25T00:00:00Z,2026-09-23T23:59:59Z,0.01,1,1.00,1.00,1.01,1.00,1.17,15.92,100,100,100.67,100,117,1592,0,false,finestra mobile di 30 giorni raccolti (26 con tick) dal 2026-08-25 al 2026-09-23
FTMO,@BP,GBPUSD,2539285,2026-08-25T00:00:00Z,2026-09-23T23:59:59Z,0.00001,0.0001,0.00000,0.00003,0.00005,0.00008,0.00013,0.00198,0,3,5.10,8,13,198,3,false,finestra mobile di 30 giorni raccolti (26 con tick) dal 2026-08-25 al 2026-09-23
FTMO,@BRN,UKOIL.cash,1821511,2026-08-25T00:05:00Z,2026-09-23T20:49:59Z,0.001,1,0.060,0.074,0.073,0.080,0.080,0.160,60,74,73.09,80,80,160,0,false,finestra mobile di 30 giorni raccolti (22 con tick) dal 2026-08-25 al 2026-09-23
FTMO,@BTC,BTCUSD,9032980,2026-08-25T00:00:00Z,2026-09-23T23:59:59Z,0.01,1,-6.87,1.00,1.29,2.17,4.09,66.05,-687,100,129.44,217,409,6605,2,false,finestra mobile di 30 giorni raccolti (30 con tick) dal 2026-08-25 al 2026-09-23
FTMO,@C,CORN.c,102305,2026-08-25T00:05:00Z,2026-09-23T18:19:25Z,0.01,1,0.96,1.05,1.02,1.05,1.05,2.14,96,105,101.86,105,105,214,0,false,finestra mobile di 30 giorni raccolti (21 con tick) dal 2026-08-25 al 2026-09-23
FTMO,@CC,COCOA.c,354949,2026-08-25T08:50:00Z,2026-09-23T17:30:00Z,0.1,1,15.6,19.6,19.4,21.6,21.6,38.3,156,196,194.50,216,216,383,0,false,finestra mobile di 30 giorni raccolti (21 con tick) dal 2026-08-25 al 2026-09-23
FTMO,@CL,USOIL.cash,2189536,2026-08-25T00:00:00Z,2026-09-23T23:59:59Z,0.001,1,0.068,0.081,0.080,0.088,0.088,0.178,68,81,79.90,88,88,178,0,false,finestra mobile di 30 giorni raccolti (26 con tick) dal 2026-08-25 al 2026-09-23
FTMO,@CT,COTTON.c,270047,2026-08-25T01:05:00Z,2026-09-23T18:19:33Z,0.01,1,0.35,0.44,0.42,0.45,0.45,0.83,35,44,42.38,45,45,83,0,false,finestra mobile di 30 giorni raccolti (21 con tick) dal 2026-08-25 al 2026-09-23
